_1.365,_0.7588,0.33435,1.716,0.18766,0.1467,0.3831,0.8449,_0.7469,0.9075,_1.864,2.154,_0.0745,_1.577,2.266,_0.1606,1.223,_0.2062,_0.26448,2.425,4.235,_0.2423,_1.988,1.611,_0.9822,_2.336,_0.7156,_0.6364,1.891,_0.4032,_0.3697
_0.4362,_0.1228,0.5403,1.004,0.7495,1.432,1.091,0.5943,2.189,1.278,_0.9134,0.0141,1.006,0.6325,_0.0405,_0.4687,0.2293,_0.95,0.765,_0.1456,_0.7903,_0.5978,1.655,_0.4709,_0.3176,0.1196,0.1312,_0.3314,_0.7682,_0.4385,_0.5348
_0.2453,0.2868,0.0556,0.7554,0.435988888888889,0.5792,0.5199,0.2376,0.337,0.0788,0.3867,_0.1995,1.267,1.714,0.7175,0.956,_0.247,0.2138,_1.20993,0.2354,_0.6266,_0.7359,1.343,0.0752,_1.947,_0.1656,_0.3429,_0.2909,_0.6195,_0.1059,0.0446
0.2094,0.2464,0.4878,0.8966,_0.3225,0.8562,0.485,0.0122,1.504,1.37,_0.0022,2.346,1.905,0.6874,0.6253,0.4516,0.4497,_0.1866,_0.1099,_0.418,_0.31,_0.8959,_0.1305,_0.4831,_0.2627,_0.2109,0.3716,1.338,_0.4654,_0.439044444444444,_0.1303
0.1427,0.2958,0.7333,0.868355555555556,0.62091,0.2019,3.208,1.992,1.087,0.6869,_1.07,_0.0378,_0.1281,_0.5387,_0.2336,_1.151,_1.255,0.1583,0.409,_0.7447,_1.405,0.3264,_1.428,_0.40351,_1.207,0.1396,_0.3224,_0.1885,_0.16983,_0.2934,_0.191
0.907,0.62617,0.6359,_0.1942,1.367,0.898,2.923,0.9754,0.3632,_0.3816,0.7007,_0.611,0.4393,0.08525,0.2244,_0.9855,_0.0783,_0.3716,_0.6115,_1.309,_0.7891,_0.314,0.0496,_0.2535,0.68553,0.0248,_0.0185,_0.4607,1.318,0.2358,_0.0454
1.413,_0.1172,0.2631,0.7126,0.45589,1.474,2.345,1.076,0.87,1.084,0.7346,_0.4007,0.42414,0.7489,0.2839,_1.289,_0.0307,_0.1853,_1.09445,_0.5866,_0.7316,_0.03,_1.955,_0.2565,_0.5774,1.249,_0.4331,_0.4637,0.6475,_0.0305,_0.3215
0.9219,0.0673,0.8848,0.2296,_0.1375,1.501,1.676,2.198,0.6016,0.4783,_1.475,0.1827,0.5728,0.7083,_0.9046,_1.213,_0.312,_0.8802,_1.035,_1.16,_0.6921,0.8759,_0.8205,_0.2352,_0.701,0.0634,0.0359,_1.374,_0.0878,2.646,0.0784
0.9671,0.3794,0.9644,0.3732,_0.4361,1.593,1.209,2.184,0.4304,0.613,_1.221,_0.04161,0.02634,0.464,_0.3644,_0.9652,_0.2426,_0.7956,0.1433,_1.159,_0.9605,1.004,_1.852,0.3021,_0.250488888888889,_0.35233,_0.0687,_1.218,_0.11369,0.3035,0.8385
1.311,0.0477,0.9255,0.9027,0.0122,1.694,1.851,2.299,_0.0816,0.6118,_1.707,0.1292,0.214,0.2807,_0.9895,_0.5834,0.1627,_1.006,0.1462,_1.575,_1.183,1.042,_1.17,_0.7692,_0.0817,_0.1921,_0.161,_0.5668,_0.4719,_0.3387,0.1503
1.438,0.0883,1.346,1.953,_0.0752,0.8634,1.218,1.63,0.9707,0.2724,_2.103,_1.537,0.0827,1.16,_0.55192,_1.563,1.783,_0.4288,_1.342,_1.153,_1.611,0.5287,0.2044,0.5806,_0.1959,1.229,_0.117,0.7209,_0.6974,0.07759,0.7315
1.631,0.5426,1.16,1.551,0.6347,0.7573,0.7339,0.9072,0.2598,0.4977,_0.2408,_0.0083,_0.1309,0.6531,_1.737,_1.121,0.9188,0.4555,0.2042,_0.2996,_0.8649,_0.9751,0.4156,0.0933,_0.1353,0.4379,_1.613,_0.0302,_0.3691,0.1147,0.4862
0.8698,0.6779,0.7704,0.7147,1.857,1.33,0.9889,1.001,1.531,0.9139,_0.0685,1.05,_0.0739,0.1494,_0.316,_0.2449,_0.6333,_0.3762,0.6245,_0.4865,_0.1434,0.9814,_0.6079,_0.73,_0.1496,_0.2149,_0.286,_0.9435,_0.2519,_2.089,_1.33
0.4731,0.6545,1.195,0.1909,1.135,0.3978,0.44,0.4817,_0.2736,_0.4766,0.8088,0.8439,1.706,1.728,0.2035,0.248,0.5132,0.262,_0.3399,_0.0885,_0.6198,_0.9204,_1.171,_0.8523,_0.1421,0.1292,_0.082,_0.7945,_0.4373,_0.2108,0.0629
0.6864,0.3848,0.8954,_0.1838,_0.1388,0.0673,0.4435,0.0919,_0.6575,_0.4062,2.211,1.05739,0.6807,0.9029,_0.2347,_0.332,_0.0015,_0.4745,_0.904,_0.3321,_0.194,0.2881,_0.2082,0.1277,_0.0492,0.1096,_0.76,_0.5007,0.14,_0.6621,_0.4815
0.923,0.9062,1.683,0.2105,0.874,0.9986,1.171,0.9765,0.4466,_0.6362,1.981,0.7453,1.358,1.291,_0.9853,_0.4735,0.5976,_0.4953,_0.9647,_1.074,_1.189,_0.6453,_0.218,_0.5511,_0.3193,_0.7726,_1.403,_1.102,_0.7058,_1.006,_0.8705
0.6777,0.6612,0.5987,0.8237,0.6835,_0.1876,_0.0035,0.1214,0.9454,_0.0806,2.179,0.8911,1.295,1.304,_0.1124,0.5912,0.2154,_0.3448,_1.486,_0.5852,_0.5651,_0.6777,_0.694,_0.7309,0.4955,_0.0116,_0.6705,_0.3519,0.6907,_0.7378,_0.3768
0.5548,_0.094,0.4486,_0.0418,0.1349,1.203,1.443,0.58836,0.8747,0.8664,1.492,1.973,2.585,2.465,_0.0397,0.2144,0.5567,_0.4218,_1.661,_0.1197,_0.4635,_0.6572,_0.5625,_0.5215,_0.2736,0.1355,_1.397,_0.5857,_0.3477,_0.9975,_0.5644
1.194,1.378,2.038,2.314,1.133,1.952,0.1044,1.533,_0.4672,0.2179,1.72,0.0258,1.18,1.503,_0.0328,_0.1672,1.467,_0.2384,_2.208,_1.697,_1.015,0.1033,_0.2344,_0.35585,_0.3716,0.7653,_2.282,_1.092,0.1963,_1.696,_0.6806
0.11,1.074,0.8416,0.8803,0.0332,1.319,0.7391,1.379,_0.5153,_0.1178,0.8232,0.5091,0.2834,0.8102,_0.4059,0.1986,0.8092,0.6605,_1.076,_0.4556,_0.2184,0.4261,_0.7769,_0.7708,_0.2471,0.1239,_1.924,_1.852,0.169,_1.914,_0.7449
0.3107,0.3683,1.175,0.3926,0.0768,0.1643,0.0515,1.677,0.6183,0.187,0.6535,1.07,1.105,1.388,_0.1288,0.6407,_0.2503,0.2209,_0.0162,_0.0485,_0.8276,0.034,_1.129,_0.7884,0.25,_0.0578,_1.052,_0.576,0.1192,_2.296,_1.146
0.5855,0.1307,1.172,_0.3561,_0.0077,2.032,1.762,0.7913,0.5287,_0.4858,2.022,0.6007,1.06,1.142,0.7389,_0.0101,_0.8349,_0.4983,_0.1066,_0.5525,_0.5393,_0.5974,_0.2248,_0.524,_0.5545,_0.6544,_1.803,_1.596,0.2209,_1.637,_1.097
1.037,1.242,1.347,0.4904,0.8587,0.8284,0.8911,0.5499,0.0845,0.297,1.071,0.7772,1.324,0.928,0.1076,1.206,0.1415,_0.7045,_0.5945,_0.2617,_0.4879,_0.4449,_0.7001,_0.3944,0.8671,_0.0045,_1.814,_0.5448,1.055,_0.2755,_0.6088
1.171,0.9991,0.7041,0.5821,1.017,0.1454,_0.1385,_0.1926,0.8791,1.637,_1.086,1.049,0.7449,_0.2231,_0.779,0.2813,_0.55,0.2302,_0.3462,_0.1879,_0.6272,_0.8855,0.2905,_1.089,_0.7808,_0.1384,_0.3611,_1.795,_1.642,_1.546,_1.037
2.316,1.671,2.328,1.865,0.8829,0.3902,0.7377,0.9637,1.893,1.2,_1.061,1.906,1.478,2.229,_1,0.7877,_0.2313,_0.08,_0.8309,_1.003,_0.9952,_0.8739,_0.5588,_0.7081,_1.249,_1.351,_1.874,_1.503,_1.445,_2.154,_1.978
0.474,0.8331,0.7275,1.511,1.221,1.768,1.428,2.231,1.497,_0.0224,_1.284,1.55,_0.6573,_0.9427,_1.609,_2.394,2.152,2.442,1.237,_1.769,_0.7159,_1.387,0.2842,_1.445,_1.788,_1.474,_2.639,_1.877,_2.481,_0.4879,_0.7879
1.839,0.0521,0.2686,1.323,1.389,1.594,1.476,0.756,2.727,1.134,1.6,_1.222,1.263,1.016,0.2063,_1.111,1.569,_0.7327,1.127,_2.141,_1.91,_0.82106,0.6828,_0.2928,0.7522,_0.5772,_1.678,_2.931,_0.3326,_1.399,_1.452
0.9227,_0.4607,_0.2491,_1.077,_0.7375,0.7643,0.767,1.044,1.805,1.558,0.6419,0.1519,0.6014,0.316,0.3007,_0.7042,2.167,0.1212,0.8921,_0.6845,_0.6381,_0.6939,_0.1462,_1.034,_0.4781,_0.7605,_1.97,_3.752,_1.65,_1.954,_0.2128
1.461,0.9902,1.765,_0.2422,0.3955,0.4245,0.0121,0.8284,2.388,_0.2222,0.8514,1.879,0.6778,0.761,0.7964,0.2418,4.176,0.7302,_1.338,_1.869,_2.53,_0.2797,0.3373,_0.7795,_1.032,_0.0674,_1.845,_3.753,_2.811,_1.65,_1.28
2.364,1.241,1.254,1.763,0.3809,1.704,1.547,1.643,1.443,1.039,_1.085,0.3186,0.148466666666667,0.6598,_0.3103,_1.2,3.465,_0.1329,_0.38554,_1.239,_1.703,_1.766,_0.8169,_0.9278,_0.7458,_1.358,_1.165,_0.48261,0.4194,_1.686,_1.577
1.914,0.9272,1.434,0.8693,1.752,1.212,0.5277,1.147,0.8763,1.782,_2.973,0.61,1.183,0.9479,_0.0293,_1.593,_0.06936,0.7409,1.849,_1.132,0.15788,_0.06426,_1.344,_1.168,_1.581,_1.785,_1.30911,_1.58121,_0.5278,_2.159,_0.4786
2.573,1.07,3.086,1.86,2.45,1.77,1.577,1.561,1.44,1.66,_0.159733333333333,1.672,1.368,1.876,0.496,_4.332,4.76,0.719,1.73,_1.351,_0.800466666666667,_3.792,_1.708,_1.767,_1.795,_2.525,_2.441,_2.26577,_1.546,_1.971,_0.3891
2.164,0.3161,0.814,1.83,2.875,2.91,2.07,3.314,2.108,1.043,0.0904,0.4616,0.8657,0.7466,_0.0171,_1.181,3.164,_0.1894,0.2702,_1.447,_1.219,_1.129,_1.742,_0.7634,_3.184,_2.382,_4.24,_4.242,_0.5396,_4.12,_1.00172
2.059,_0.4568,0.4734,2.274,2.978,2.732,2.573,3.223,2.271,1.421,0.2593,0.745,1.214,1.156,0.1886,_1.206,2.957,_0.8212,_1.822,_1.388,_1.495,_1.121,_0.05305,_0.47848,_1.499,_2.516,_3.551,_4.176,_0.71788,_1.761,_1.176
0.99817,_0.2796,0.4002,1.608,2.533,2.794,2.461,3.281,1.511,1.523,0.5354,0.9394,0.5968,0.7074,0.3132,_0.9598,2.869,_0.7091,_1.124,_1.111,_1.467,_1.073,_1.133,_0.9241,_1.484,_2.546,_3.259,_3.067,_0.6317,_1.993,_0.9639
1.817,_0.7142,0.8542,_0.3907,0.262,1.632,2.061,1.785,2.053,2.172,0.3318,1.738,2.595,2.759,_0.4427,_3.214,2.104,_0.4952,_1.462,_1.075,_0.9949,_1.057,1.143,_0.6968,_0.2652,_0.9447,_1.969,_2.125,_5.241,_1.007,0.5408
1.455,1.66,3.588,0.6558,2.368,1.09865,0.6183,0.0793,0.2918,_0.1443,1.599,2.039,0.8797,2.487,0.1609,_0.4395,_0.0649,0.5178,_0.5034,_0.98853,_1.73,_2.232,_1.846,_0.6864,_0.996,_2.796,_1.54412,_1.28464,_3.272,_1.125625,_1.264
2.075,2.299,2.557,0.3401,1.329,0.4193,0.8978,0.6982,0.1631,0.5348,1.142,0.7685,1.287,1.023,1.355,0.4,_0.0109,0.6779,2.529,_0.1864,_0.3982,_1.358,_0.5926,_1.476,_1.4540375,_3.927,_4.773,_5.476,_4.213,_2.089,_1.27
1.28789,1.097,1.546,2.156,0.5316,2.618,0.9569,2.368,2.129,1.29,_0.8091,1.635,0.8162,1.874,1.221,1.426,1.153,_0.109,_2.248,_0.7822,_1.475,_0.769,0.6578,_0.8848,_1.551,_0.0046,_1.689,_2.504,_1.885,_1.929,_1.614
0.3691,0.3442,0.9983,1.455,0.3081,1.43,1.18,0.60178,1.946,0.9971,0.7487,1.202,1.314,1.037,1.581,0.38,0.4543,_0.1096,_1.472,0.0055,_0.0499,0.5074,0.3912,_0.6979,_1.84,_0.394,_1.393,_1.132,_0.4889,_1.233,_0.8708
1.518,0.531,1.591,0.3499,0.8279,1.54,1.906,1.165,1.693,0.5552,0.7246,0.8812,_0.18479,_0.5381,_0.7574,_1.043,_1.416,0.3393,_0.3256,_0.6433,_0.5332,_0.9347,0.242,_0.4617,_1.877,_0.4913,_2.434,_2.372,_1.268,0.7755,1.367
2.137,0.6927,2.062,0.3586,1.156,1.183,2.201,1.487,3.079,2.23,_0.9208,1.528,_2.399,_1.622,0.0231,_0.8823,_1.105,0.4738,_0.9761,_0.9889,_0.7463,_1.103,0.6389,0.1337,_0.0194,_2.489,_2.334,_3.382,_0.1409,_0.0027,0.4053
1.335,0.4377,1.343,_0.3979,0.8584,0.296,1.226,1.291,2.36,1.186,_0.8887,0.8758,_2.212,_1.075,_0.0962,_0.7459,_1.228,_0.3877,_0.0358,_1.536,_1.085,_1.287,0.0156,_0.0694,_0.1234,_1.692,_1.927,_2.176,_0.4134,0.4636,1.96
2.783,1.749,1.948,0.1572,1.347,1.416,1.22,1.321,2.039,1.227,0.7286,1.524,0.0234444444444444,_0.2572,_1.227,_1.173,0.5383,_0.197,_0.7584,_1.925,_1.621,0.6513,0.4897,_1.333,_1.07,_0.6456,_1.21,_3.025,_0.2464,_0.7587,_0.0651
2.388,1.464,2.589,0.8013,2.222,1.287,1.532,0.9455,1.073,1.083,0.3253,1.565,_1.281,_1.031,_1.442,_1.007,0.2267,0.4283,_0.7963,_1.24,_1.728,0.3448,0.6712,_0.3866,_0.7286,_0.4675,_1.439,_3.031,_0.8844,_1.125,_0.3396
2.11,1.926,2.736,1.85886,1.4971,2.292,3.361,2.318,1.507,0.002,_0.1088,_0.8888,_0.65935,_3.068,0.591,_0.8447,2.322,_0.1844,_0.801577777777778,_0.9365,_0.7037,_1.359,1.191,_1.298,0.3299,_0.08599,_1.723,_2.679,0.9201,_2.26,_0.0586
0.9592,0.8843,1.46,0.1907,0.9524,1.169,1.42,1.022,_0.1461,0.7728,_0.3055,_0.4781,_0.904,_1.046,0.3057,_0.1139,1.303,_0.6158,0.1587,_0.8424,_0.43657,_0.632877777777778,_0.5631,_0.6489,0.3769,_1.187,_1.046,_1.881,0.452,_1.609,_0.2374
1.696,1.107,1.531,0.9131,_0.2202,2.024,2.021,1.369,0.8151,0.7513,_1.583,_0.0107625,_2.026,_1.202,_0.4069,0.274,1.012,0.3473,_0.6052,_0.2499,_0.3314,_0.3579,_2.532,_0.4052,2.638,_1.678,_1.956,_1.154,_0.242288888888889,_0.6678,_0.2494
1.794,1.051,1.968,0.3017,_0.5389,1.887,1.73,1.317,0.9199,_0.528,_1.234,0.0803,_2.856,_0.8814,_0.2928,_0.1253,1.268,0.1048,_0.34383,_0.2614,_0.5575,_0.2242,_0.3469,_0.3858,0.8645,_0.227511111111111,_1.581,_0.8413,_0.9085,_0.9239,_0.2834
0.2102,0.573,0.8205,0.7443,0.0343,1.621,1.038,1.168,1.557,0.8912,_1.673,0.1083,_0.7697,_1.075,_0.8915,_0.5615,0.0034,_0.2599,_0.2243,_1.315,_0.7059,0.1905,1.126,_0.5807,0.154,_0.0675,0.3999,_0.4232,0.6269,_0.0299,_0.1119
2.469,0.4538,0.9266,1.156,_0.3284,2.399,1.754,1.756,0.80225,0.3273,_0.9186,0.0589555555555556,_1.781,_0.4214,_0.4009,_0.0997,_0.213422222222222,1.113,_0.18434,_1.307,_0.20892,_0.487211111111111,_1.285,_0.2064,0.2272,_0.1371,_0.4281,_0.3243,_0.7026,_0.6417,_0.39755
1.381,0.353,0.7395,1.191,_0.7454,2.478,1.344,1.998,0.89408,0.5276,_1.09,0.2811,_1.761,0.5627,_0.1668,_0.6912,_0.411,0.6451,_0.108455555555556,_1.529,_0.3948,0.6451,_0.0548,_0.897,0.1543,0.5876,_1.123,0.0804,_0.1496,_0.487755555555556,_1.334
1.966,1.069,1.171,1.248,0.2589,2.704,2.24,2.523,1.76,0.6479,_1.926,_0.5208,_2.654,_1.949,0.1927,1.436,_2.068,0.0949,_2.352,_1.528,_1.602,_0.2356,1.716,_0.282,0.3251,_0.6399,_0.9285,_1.968,0.278,_1.136,_0.7069
0.9517,0.0252,1.543,0.3815,1.709,0.9466,1.222,1.502,0.6349,0.0594,_0.2194,_0.3615,0.3002,0.0695,_0.694,_1.121,_1.836,_0.4573,0.0727,_0.8288,_0.3041,_0.7538,0.5853,_0.5192,_0.7559,_0.6669,_1.306,_0.9235,_0.8625,0.0859,0.2542
_0.0796,0.5842,0.5132,3.943,1.074,1.044,0.8725,0.5172,1.093,0.8349,_0.2001,_0.0282,2.232,1.498,_0.1827,0.0717,_0.1697,_0.61111,_0.6599,_0.6532,_0.7695,_0.5123,_0.8814,_0.03363,_0.2525,0.1287,_0.2181,0.2652,_0.4092,0.1774,_0.381
1.236,0.8021,0.1746,3.138,1.173,0.8932,1.32805,1.389,0.6059,0.5696,0.1155,_0.0144,0.5169,0.1973,0.6552,_0.6435,_0.2326,1.852,_0.0735,_1.047,_1.171,_0.8541,_0.024,0.0529,0.1143,_0.605,0.2394,0.3889,_0.6258,_0.7945,_0.7791
0.3103,0.3132,0.7644,1.773,0.6591,1.214,0.8719,0.6096,0.5528,0.9897,1.209,0.3213,0.4009,0.4313,_0.2133,_0.7427,_0.017,0.3546,_0.5175,_1.3,_1.405,0.225,0.5075,_0.2178,_0.2637,_0.0152,0.0223,_0.1562,0.3203,_0.5053,_2.074
0.5978,0.1268,1.302,0.9022,0.7605,1.776,2.18,0.3764,0.0967,0.7206,_0.6332,_0.1655,_0.6288,_0.2471,_0.6988,_1.633,0.7786,0.0329,0.0297,_1.732,0.4584,_0.1719,_0.5966,_0.9377,_0.5265,_0.8374,_1.393,0.4257,_0.0455,1.558,1.123
0.42317,0.1749,1.093,0.9035,0.74263,1.973,2.24,0.5042,0.9147,0.9509,0.7249,_0.2528,_0.438,_0.1653,_0.9781,_1.565,_0.0923,0.3146,_0.46626,_1.054,_1.933,_0.7831,_0.2445,_0.4164,_0.0245,0.4243,_0.6254,0.7331,_0.1828,0.5069,0.8541
0.5174,0.0871,1.167,0.6637,1.1,1.933,2.257,0.5521,0.9002,0.8973,_0.9544,_0.4473,_0.4882,_0.5459,_0.4763,_1.358,_0.7341,0.5351,_0.1395,_1.2,_1.257,_0.434,_0.3566,_0.5098,_1.157,_0.6651,_1.087,0.4493,_0.4377,0.4859,0.8485
3.606,2.994,2.666,4.62,2.475,_0.6494,_1.07,4.347,3.242,1.757,_0.71,_0.122233333333333,_1.916,_0.497,_1.913,_0.609,0.3862,_0.001,_0.69197,_0.6125,0.5792,1.03,_0.2181,_1.117,_1.19816,0.1718,_3.109,_3.277,_2.891,_3.23,_3.472
0.9312,2.745,3.014,3.234,2.444,_0.6095,_0.5842,3.436,1.162,1.268,_1.313,_0.9664,_0.4198,_0.0552,_0.8197,_0.3346,2.212,_0.4895,_1.443,_1.23,_0.3003,0.1996,0.5335,_0.8142,0.0514,_1.027,_0.8314,_0.7269,0.0419,_0.6309,_0.9776
1.788,2.177,2.865,2.784,2.116,_0.2291,_0.3572,1.648,0.9554,1.088,_0.14308,0.296,_1.762,_1.536,_0.3764,_0.2736,0.14995,_0.9535,_1.011,0.2932,1.722,0.7273,0.8773,_0.775,0.00996666666666665,_1.207,_0.8763,_2.278,_0.02964,_1.513,_1.187
1.48,1.6,1.572,_0.0574,0.4004,1.984,1.553,0.4279,1.598,1.473,_0.6337,0.5434,_1.671,_1.792,0.2534,_1.427,_0.0491,_0.1993,0.07884,_1.088,_1.011,1.001,1.206,_0.29387,0.2674,_0.5247,0.4456,_1.984,0.4126,_0.84693,_0.712577777777778
0.2323,0.4188,1.543,0.9489,0.497,1.862,1.697,1.416,0.7424,1.273,_0.0329,0.5324,_1.416,_0.8257,_0.3942,_0.4686,_0.5945,0.1855,_0.2577,0.0072,_0.3562,_0.5711,0.1401,_0.2751,0.0496,0.31092,0.246,_0.7918,0.162,_1.561,_0.8889
1.251,2.428,3.479,0.1214,_0.1484,1.757,0.2249,1.338,1.184,_0.3344,_0.2147,_0.3564,_0.1941,_0.0264,_1.14,_0.4107,0.3093,_0.1944,_1.29,_0.50021,_0.107,_0.1816,0.4433,0.3046,0.3225,0.9547,_1.04,_0.5093,_0.007,_0.7618,_0.3083
3.594,1.266,2.114,2.59,0.936511111111111,1.46,1.88,1.144,_0.7818,_0.1769,_2.949,0.2314,_0.0843875,_1.974,_1.577,_1.17,0.714,_0.7796,_0.440166666666667,_2.007,_0.9289,0.7906,_0.21219,_0.2635,_0.7841,_0.3023,_0.7201,_1.422,_1.88,1.4,1.871
3.403,1.313,2.037,2.361,2.736,1.557,1.819,1.067,_0.4642,0.1831,_2.964,0.1529,_1.916,_1.785,_1.608,_1.381,0.7588,_0.7304,_1.195,_1.833,_0.8611,0.9043,_0.693,0.2767,_0.6447,_0.0188,_0.7111,_2.057,_1.599,1.304,1.667
3.295,1.42,1.148,0.5757,2.648,1.258,1.178,0.1493,_0.8482,_0.1043,0.8889,_0.3714,_1,_1.783,_0.8891,_2.289,_0.6248,_0.7922,_0.7234,_0.2971,0.1896,0.0077,0.1542,_0.5964,_0.4961,0.2539,_0.5363,_2.024,_1.002,1.058,1.326
0.7229,2.511,3.204,1.651,0.3418,1.228,1.24937,2.233,_0.2186,_0.2887,_1.035,0.1652,_2.147,_2.462,_1.78,_2.511,1.554,_1.588,_1.464,0.7369,0.2284,_1.237,1.117,0.5188,_0.0337111111111111,0.0355,_1.748,0.377,_0.5759,2.893,3.228
0.6867,2.276,2.84,1.747,0.1909,1.096,1.721,2.099,0.197,0.0403,_0.7192,0.0776,_1.679,_1.627,_1.012,_2.566,1.306,_1.623,_0.8531,0.6112,_0.46101,_1.223,0.5507,0.4749,0.3993,_0.059,_1.872,0.2142,_1.143,0.20839,2.834
1.213,2.21,2.834,1.521,1.192,1.518,1.701,1.982,_1.589,_0.7686,_0.925,_0.1641,0.0731,0.1085,_0.1104,_0.5312,1.024,_0.9678,_0.1736,_0.1434,_0.6918,_1.307,0.6871,0.2191,_0.0943,_1.314,_1.309,_0.7937,_1.135,0.2527,1.138
1.588,1.101,2.079,2.134,1.0792,2.083,1.567,0.8917,0.8956,_0.0206,_0.0606,_0.09199,0.19624,0.7436,_0.8625,_0.2986,_2.085,_0.915,_0.31329,_0.825,_0.785,_1.308,_0.2242,_0.3611,0.0253,_0.6618,_1.26,_0.4716,_0.3796,0.5423,1.513
1.385,0.9539,0.9729,0.6649,1.2,1.87,1.071,0.6861,_0.1677,_0.3482,0.3547,_0.1178,0.855,0.8703,_1.116,_0.1883,_0.4391,_0.6103,0.0145,_0.442,_0.9227,_0.7295,_0.129,0.7367,_0.8888,_0.0754,_0.8293,_0.318,_0.3977,0.4506,1.113
1.647,1.184,2.117,0.106,0.92881,2.498,1.482,0.288,0.70444,1.083,_1.371,_0.3317,_0.0017,1.039,0.5138,_0.2598,0.6045,_0.4179,_0.16335,_2.276,_0.5347,_0.60061,1.288,_0.0841,0.14888,_1.069,_0.108,_0.3019,0.4274,_0.4328,_1.259
1.412,3.018,3.4,3.58,2.768,1.779,0.993,3.118,3.406,1.05,_1.196,_0.9517,1.212,1.892,_1.603,0.4086,_0.6812,_1.696,_0.812,_1.714,_2.632,_1.928,2.557,_1.539,_1.584,_3.04,0.1044,0.6904,_0.0626,_0.6682,_0.1101
1.058,0.9659,1.545,_0.4049,0.0464,1.91,2.123,0.8067,0.2343,0.9482,_0.7782,_1.063,0.0989,0.1645,_0.206,_0.5545,_0.8678,0.1574,0.5886,_0.9476,_0.9586,_0.7833,0.3984,_0.0543,0.8673,0.3339,_1.417,_0.0792,_0.3735,_0.4835,_0.8463
2.494,2.379,3.158,0.3867,_0.4476,2.567,1.459,_0.1352,_0.9098,1.791,_0.1016,0.2117,_0.9586,_0.7247,_0.4178,_0.7167,_1.248,0.2557,_0.0659,_0.2414,_0.1757,0.4193,0.5674,_0.2246,0.576555555555556,1.149,_1.179,0.2153,0.5915,_1.181,_0.4191
2.531,2.252,3.635,0.3801,0.1149,2.53,3.237,_0.449,_0.1542,2.441,_0.14,0.6341,_0.3314,_0.1476,_0.629,_0.397,_1.749,_0.5763,_1.187,_0.3125,_0.3698,0.4367,0.7361,_0.2043,2.366,1.326,_1.04,0.0356,1.054,_1.283,_0.2793
1.5,0.9594,1.35,1.2,0.1101,2.269,2.04,0.9794,_0.5906,0.5801,_0.4106,_0.7492,_1.11,0.3605,_0.6298,_0.7405,_1.1,_0.71384,_0.3,_0.3104,0.1197,0.0497,0.8406,0.0504,0.1706,_0.2895,_0.5806,0.2393,1.591,_0.0572777777777778,0.3204
0.8963,1.524,1.911,1.468,1.056,0.2542,0.2502,0.4806,0.7461,0.4152,_0.391,_0.5521,_0.5299,_0.2028,0.3371,_0.3709,0.0888,0.4211,_0.7407,_0.4963,_1.145,_0.2764,_0.0899,0.4548,0.613211111111111,0.6675,0.2975,_0.0278,0.2567,_2.797,_0.6091
3.12,2.906,3.612,2.128,0.3315,0.9236,0.5442,0.5324,4.301,_0.4636,_0.9012,_0.2059,_0.9228,0.12678,0.9442,0.0902,_1.96,_1.346,_0.7768,0.5897,0.0391,_0.2317,0.37986,_0.0284,_0.2306,1.398,1.556,0.2588,1.075,_3.852,_0.5573
0.2616,1.444,1.706,1.655,1.815,0.9103,1.205,1.062,1.322,0.467,_0.0946,0.1616,1.388,0.8212,1.129,0.2173,_1.123,_0.5226,_0.7284,_0.544,_0.3411,_0.8053,_0.4696,_0.7657,0.9381,0.5544,0.5802,_0.0386,0.4097,_1.976,_1.665
1.028,1.581,1.616,0.885,1.294,0.6697,0.4225,0.8233,0.8295,_0.8244,_0.1336,_0.7733,0.2033,0.551,_0.9714,_0.1014,_1.481,_0.016,_0.2802,_0.946,_0.4812,_0.9245,0.3525,_0.3648,0.9913,0.4917,_0.2418,0.2005,0.1058,_1.19981111111111,_2.318
1.257,1.534,1.883,2.148,1.417,0.8744,0.739,0.8265,0.7066,0.2547,0.0873,_0.9945,0.6277,0.2333,_0.4344,0.1813,_1.415,_0.5423,_1.316,_0.6599,_0.6755,_0.7011,_0.0933,_0.5369,0.2751,1.339,0.5394,0.5008,1.194,_2.221,_1.926
1.325,1.395,1.902,2.171,2.426,2.388,2.565,1.652,1.333,0.0487,_2.214,_0.1153,0.2514,_0.0702,_0.3777,_0.471,_1.337,_0.5842,_0.4792,_0.2814,_0.5758,_1.481,0.3405,0.1709,1.238,0.7722,0.4404,1.299,0.7728,_4.501,_2.387
0.8344,1.35,2.237,0.806,0.8820125,1.498,1.419,_0.6841,0.5312,0.9711,_0.9506,0.3602,_0.11555,_1.006,_0.4382,0.0542,_0.858,_0.4552,0.1064875,_0.1706,_0.1152,_0.69607,_0.4537,_0.8053,1.196,0.9286,0.6624,0.2176,0.2501,_2.89,_1.35
0.9819,1.436,2.686,1.44,0.8986875,1.49,1.336,_0.8392,0.4115,0.6631,_0.616,_0.948,_0.494885714285714,_2.228,_0.9352,0.0023,_0.9491,_0.3066,0.225875,_0.0074,_0.2777,_0.5766,_0.3418,_0.5958,0.9676,1.749,0.6064,_0.255,0.2414,_2.077,_1.125
